id,x,y,z
1.000000000000000000e+00,7.241436687973471635e+03,1.021937460287209092e+03,1.000000000000000000e+04
1.000000000000000000e+00,7.232187500266195457e+03,9.971120705573679288e+02,1.000159720285765434e+04
1.000000000000000000e+00,7.223285702246505025e+03,9.722036915355284918e+02,1.000319974503670164e+04
1.000000000000000000e+00,7.214726917321544533e+03,9.472133687632134524e+02,1.000480755926963502e+04
1.000000000000000000e+00,7.206506768898445443e+03,9.221421477819445727e+02,1.000642057828895304e+04
1.000000000000000000e+00,7.198620880384351949e+03,8.969910741332450925e+02,1.000803873482716335e+04
1.000000000000000000e+00,7.191064875186404606e+03,8.717611933586372288e+02,1.000966196161675725e+04
1.000000000000000000e+00,7.183834376711738514e+03,8.464535509996433120e+02,1.001129019139023694e+04
1.000000000000000000e+00,7.176925008367496957e+03,8.210691925977859000e+02,1.001292335688010280e+04
1.000000000000000000e+00,7.170332393560819582e+03,7.956091636945878918e+02,1.001456139081885522e+04
1.000000000000000000e+00,7.164052155698843308e+03,7.700745098315709356e+02,1.001620422593899457e+04
1.000000000000000000e+00,7.158079918188708689e+03,7.444662765502583852e+02,1.001785179497301942e+04
1.000000000000000000e+00,7.152411304437559920e+03,7.187855093921727985e+02,1.001950403065343380e+04
1.000000000000000000e+00,7.147041937852526644e+03,6.930332538988354827e+02,1.002116086571273081e+04
1.000000000000000000e+00,7.141967441840757601e+03,6.672105556117699052e+02,1.002282223288341265e+04
1.000000000000000000e+00,7.137183439809386982e+03,6.413184600724981692e+02,1.002448806489798153e+04
1.000000000000000000e+00,7.132685555165556252e+03,6.153580128225431736e+02,1.002615829448893419e+04
1.000000000000000000e+00,7.128469411316405058e+03,5.893302594034270214e+02,1.002783285438877283e+04
1.000000000000000000e+00,7.124530631669070317e+03,5.632362453566722706e+02,1.002951167732999420e+04
1.000000000000000000e+00,7.120864839630696224e+03,5.370770162238015928e+02,1.003119469604510050e+04
1.000000000000000000e+00,7.117467658608418787e+03,5.108536175463372047e+02,1.003288184326659211e+04
1.000000000000000000e+00,7.114334712009377654e+03,4.845670948658016641e+02,1.003457305172696761e+04
1.000000000000000000e+00,7.111461623240716108e+03,4.582184937237177564e+02,1.003626825415873100e+04
1.000000000000000000e+00,7.108844015709569248e+03,4.318088596616076416e+02,1.003796738329437358e+04
1.000000000000000000e+00,7.106477512823076722e+03,4.053392382209939342e+02,1.003967037186640300e+04
