id,x,y,z
1.000000000000000000e+00,3.208687886852033898e+03,8.972017155627341708e+03,3.000000000000000000e+04
1.000000000000000000e+00,3.277116335082986552e+03,8.554420834866446967e+03,2.938775510204081729e+04
1.000000000000000000e+00,3.345544783313939206e+03,8.136824514105554044e+03,2.877551020408163458e+04
1.000000000000000000e+00,3.413973231544891860e+03,7.719228193344660212e+03,2.816326530612244824e+04
1.000000000000000000e+00,3.482401679775844968e+03,7.301631872583766381e+03,2.755102040816326553e+04
1.000000000000000000e+00,3.550830128006797622e+03,6.884035551822872549e+03,2.693877551020408282e+04
1.000000000000000000e+00,3.619258576237750276e+03,6.466439231061978717e+03,2.632653061224489647e+04
1.000000000000000000e+00,3.687687024468702930e+03,6.048842910301084885e+03,2.571428571428571377e+04
1.000000000000000000e+00,3.756115472699655584e+03,5.631246589540191053e+03,2.510204081632653106e+04
1.000000000000000000e+00,3.824543920930608238e+03,5.213650268779297221e+03,2.448979591836734835e+04
1.000000000000000000e+00,3.892972369161560891e+03,4.796053948018403389e+03,2.387755102040816564e+04
1.000000000000000000e+00,3.961400817392513545e+03,4.378457627257509557e+03,2.326530612244897929e+04
1.000000000000000000e+00,4.029829265623466654e+03,3.960861306496615725e+03,2.265306122448979659e+04
1.000000000000000000e+00,4.098257713854419308e+03,3.543264985735722803e+03,2.204081632653061388e+04
1.000000000000000000e+00,4.166686162085372416e+03,3.125668664974828062e+03,2.142857142857142753e+04
1.000000000000000000e+00,4.235114610316324615e+03,2.708072344213935139e+03,2.081632653061224846e+04
1.000000000000000000e+00,4.303543058547276814e+03,2.290476023453040398e+03,2.020408163265306212e+04
1.000000000000000000e+00,4.371971506778229923e+03,1.872879702692146566e+03,1.959183673469387577e+04
1.000000000000000000e+00,4.440399955009183032e+03,1.455283381931252734e+03,1.897959183673469670e+04
1.000000000000000000e+00,4.508828403240135231e+03,1.037687061170358902e+03,1.836734693877551035e+04
1.000000000000000000e+00,4.577256851471088339e+03,6.200907404094650701e+02,1.775510204081632764e+04
1.000000000000000000e+00,4.645685299702041448e+03,2.024944196485721477e+02,1.714285714285714494e+04
1.000000000000000000e+00,4.714113747932993647e+03,-2.151019011123225937e+02,1.653061224489795859e+04
1.000000000000000000e+00,4.782542196163945846e+03,-6.326982218732155161e+02,1.591836734693877588e+04
1.000000000000000000e+00,4.850970644394898954e+03,-1.050294542634110257e+03,1.530612244897959135e+04
1.000000000000000000e+00,4.919399092625852063e+03,-1.467890863395004999e+03,1.469387755102040865e+04
1.000000000000000000e+00,4.987827540856804262e+03,-1.885487184155896102e+03,1.408163265306122594e+04
1.000000000000000000e+00,5.056255989087757371e+03,-2.303083504916790844e+03,1.346938775510204141e+04
1.000000000000000000e+00,5.124684437318710479e+03,-2.720679825677685585e+03,1.285714285714285870e+04
1.000000000000000000e+00,5.193112885549662678e+03,-3.138276146438580327e+03,1.224489795918367236e+04
1.000000000000000000e+00,5.261541333780614877e+03,-3.555872467199471430e+03,1.163265306122449329e+04
1.000000000000000000e+00,5.329969782011567986e+03,-3.973468787960366171e+03,1.102040816326530694e+04
1.000000000000000000e+00,5.398398230242521095e+03,-4.391065108721260913e+03,1.040816326530612423e+04
1.000000000000000000e+00,5.466826678473473294e+03,-4.808661429482155654e+03,9.795918367346937885e+03
1.000000000000000000e+00,5.535255126704426402e+03,-5.226257750243048577e+03,9.183673469387755176e+03
